Class,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives
AHMET ÇAKAR,0.75,0.54,0.627906976744186,27,9,23
RIDVAN DİLMEN,0.5686274509803921,0.58,0.5742574257425743,29,22,21
REHA MUHTAR,0.08139534883720931,0.7,0.14583333333333334,35,395,15
MELTEM GÜRLE,0.10762331838565023,0.48,0.17582417582417584,24,199,26
ALİ SİRMEN,0.7,0.14,0.23333333333333336,7,3,43
CAN ATAKLI,0.3488372093023256,0.3,0.3225806451612903,15,28,35
NAZIM ALPMAN,0.5,0.02,0.038461538461538464,1,1,49
ATAOL BEHRAMOĞLU,0.04,0.02,0.02666666666666667,1,24,49
NEŞE YAŞIN,0.10377358490566038,0.66,0.17934782608695654,33,285,17
ATİLLA DORSAY,0.9615384615384616,0.5,0.6578947368421052,25,1,25
AYKAN SEVER,0.30158730158730157,0.38,0.336283185840708,19,44,31
AZİZ ÜSTEL,0.6666666666666666,0.08,0.14285714285714285,4,2,46
UFUK BOZKIR,0.32075471698113206,0.34,0.3300970873786408,17,36,33
DENİZ GÖKÇE,1.0,0.74,0.8505747126436781,37,0,13
EMRE KONGAR,0.16666666666666666,0.06,0.08823529411764705,3,15,47
GÖZDE BEDELOĞLU,0.5555555555555556,0.1,0.16949152542372883,5,4,45
HASAN PULUR,0.5,0.04,0.07407407407407407,2,2,48
ÖZGE BAŞAK TANELİ,0.125,0.02,0.03448275862068966,1,7,49
HİKMET ÇETİNKAYA,1.0,0.1,0.18181818181818182,5,0,45
MEHMET ALİ BİRAND,0.5384615384615384,0.14,0.2222222222222222,7,6,43
MEHMET DEMİRKOL,0.5555555555555556,0.1,0.16949152542372883,5,4,45
MERYEM KORAY,0.375,0.24,0.2926829268292683,12,20,38
MÜMTAZ SOYSAL,0.6,0.06,0.1090909090909091,3,2,47
NAZAN BEKİROĞLU,0.21428571428571427,0.06,0.09375,3,11,47
NEDİM HAZAR,0.2,0.02,0.03636363636363636,1,4,49
OKAY KARACAN,0.6111111111111112,0.22,0.3235294117647059,11,7,39
RUHAT MENGİ,0.7647058823529411,0.26,0.3880597014925373,13,4,37
SELİM İLERİ,0.5,0.04,0.07407407407407407,2,2,48
TARHAN ERDEM,0.9375,0.3,0.45454545454545453,15,1,35
YAŞAR SEYMAN,0.0,0.0,0.0,0,0,50
Macro Avg,0.4698215361057961,0.24133333333333334,0.2451276827592396,-,-,-
Micro Avg,0.24133333333333334,0.24133333333333334,0.24133333333333334,-,-,-
